species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Abeillia abeillei,204.5877324,1889.025919,266.480779,184.516227,198.8810106,143.5354459,187.7068604,187.7068604,920.2901504,327.690515,122.9453521,1249.29009
Abroscopus albogularis,188.4918507,1722.523495,285.8462051,110.1254972,120.9056395,60.54589602,93.21272457,93.21272457,971.0467297,338.0542739,225.2999768,5152.3863
Abroscopus schisticeps,153.3900546,1817.082108,242.2418262,82.68219043,93.50545271,22.22447259,61.39680629,61.39680629,1137.842499,398.360376,220.0174882,4593.884255
Abroscopus superciliaris,238.7177299,2475.50763,289.9553169,210.9512669,217.2559534,173.5346139,458.0827285,458.0827285,1136.281126,396.1593997,116.4206732,1703.098867
Aburria aburri,192.2801474,2067.086065,238.095626,181.1660611,185.9829837,139.6351234,388.9644016,388.9644016,765.7139682,265.6591712,98.45568586,591.2643447
Acanthagenys rufogularis,208.0722301,338.3485507,334.3812128,128.9580215,199.2422726,75.1463173,79.50172606,79.50172606,154.0261619,54.63132386,259.2340062,5378.711109
Acanthidops bairdi,136.5997603,3662.277443,173.9181725,132.5429151,137.6108669,108.2063415,834.7966854,834.7966854,1431.681936,501.4526743,65.71140135,395.2101514
Acanthis flammea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthisitta chloris,96.3140181,1976.000705,175.0645306,53.03297284,116.0005093,26.25720762,501.0742867,501.0742867,584.4750666,200.23527,148.8078989,3171.384523
Acanthiza apicalis,204.4461617,326.6472677,331.2098189,125.6693231,197.0431897,72.60162017,87.70599819,87.70599819,144.2830819,50.9303365,258.607026,5383.887983
Acanthiza chrysorrhoa,192.9077122,445.5685731,314.0182894,119.8433514,191.9713099,70.45724259,112.0672373,112.0672373,186.2646018,65.39545536,243.5605574,5036.372637
Acanthiza cinerea,158.6482318,3271.425852,190.3195956,152.6086691,156.4685971,127.9179893,686.9927911,686.9927911,1086.714628,374.9107934,62.41674871,338.3111252
Acanthiza ewingii,106.3915468,1318.354219,182.4083379,69.61699472,145.840693,48.19916969,418.158756,418.158756,439.9077395,149.935266,134.2138599,2760.544228
Acanthiza inornata,167.2432987,747.7889924,269.0381592,120.7899164,211.712366,86.79179308,351.6051783,351.6051783,399.8251881,135.9783031,182.245763,3594.711499
Acanthiza iredalei,194.5956295,271.5326196,322.3150248,121.709818,208.4227112,72.84369493,94.0689667,94.0689667,105.7703455,37.23838891,249.4691628,5119.408903
Acanthiza katherina,219.6294342,1254.639246,293.2961449,176.9456021,192.1608315,132.6762028,80.69867139,80.69867139,814.1211184,279.1148352,160.6225287,2702.361611
Acanthiza lineata,166.7249074,728.8462033,276.5438954,101.9583937,168.9010212,59.75887034,158.9898143,158.9898143,272.2111323,94.14267483,216.7835463,4525.145055
