variable,model,model_role,fit_status,logLik,AIC,AICc,parameter_summary,fit_warning,fit_error,best_AICc_for_variable,delta_AICc
annual_mean_temperature,BM,primary,ok,-54029.22260368547,108062.44520737094,108062.44645503158,sigsq=719.111; z0=207.957,none,NA,103062.50982046373,4999.936634567843
annual_mean_temperature,EB,sensitivity_only,ok,-54029.23489793876,108064.46979587752,108064.47229145827,a=-1e-06; sigsq=719.203; z0=207.957,none,NA,103062.50982046373,5001.962470994535
annual_mean_temperature,lambda,primary,ok,-51528.25366244149,103062.50732488299,103062.50982046373,lambda=0.933278; sigsq=158.34; z0=207.155,none,NA,103062.50982046373,0
annual_mean_temperature,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=719.186,"
Parameter estimates appear at bounds:
	delta",NA,103062.50982046373,2e200
annual_mean_temperature,mean_trend,sensitivity_only,ok,-54029.22259033658,108064.44518067317,108064.44767625391,sigsq=719.111; drift=-99.9999; z0=11895.9,none,NA,103062.50982046373,5001.93785579018
annual_precipitation,BM,primary,ok,-79670.77428374761,159345.54856749522,159345.54981515586,sigsq=148501; z0=1312.01,none,NA,154604.51549351556,4741.034321640298
annual_precipitation,EB,sensitivity_only,ok,-79670.78652317573,159347.57304635146,159347.5755419322,a=-1e-06; sigsq=148518; z0=1312.01,"
Parameter estimates appear at bounds:
	a",NA,154604.51549351556,4743.060048416635
annual_precipitation,lambda,primary,ok,-77299.25649896741,154604.51299793483,154604.51549351556,lambda=0.911117; sigsq=28593.2; z0=1340.15,none,NA,154604.51549351556,0
annual_precipitation,delta,primary,ok,-1e200,2e200,2e200,delta=9.27212e-155; sigsq=6.6552e+17,none,NA,154604.51549351556,2e200
annual_precipitation,mean_trend,sensitivity_only,ok,-79670.77427687995,159347.5485537599,159347.55104934063,sigsq=148501; drift=99.9999; z0=-10376,none,NA,154604.51549351556,4743.035555825074
maximum_temperature_warmest_month,BM,primary,ok,-51300.7812113179,102605.5624226358,102605.56367029644,sigsq=407.822; z0=288.379,none,NA,97873.73466549734,4731.829004799103
maximum_temperature_warmest_month,EB,sensitivity_only,ok,-51300.79336392366,102607.58672784732,102607.58922342806,a=-1.00002e-06; sigsq=407.871; z0=288.379,none,NA,97873.73466549734,4733.854557930725
maximum_temperature_warmest_month,lambda,primary,ok,-48933.866084958296,97873.73216991659,97873.73466549734,lambda=0.919498; sigsq=83.2299; z0=287.22,none,NA,97873.73466549734,0
maximum_temperature_warmest_month,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=407.865,"
Parameter estimates appear at bounds:
	delta",NA,97873.73466549734,2e200
maximum_temperature_warmest_month,mean_trend,sensitivity_only,ok,-51300.781129598676,102607.56225919735,102607.5647547781,sigsq=407.822; drift=100; z0=-11399.6,none,NA,97873.73466549734,4733.83008928076
mean_temperature_coldest_quarter,BM,primary,ok,-58089.56024141765,116183.1204828353,116183.12173049593,sigsq=1672.5; z0=168.948,none,NA,111003.13512859587,5179.986601900062
mean_temperature_coldest_quarter,EB,sensitivity_only,ok,-58089.572699976794,116185.14539995359,116185.14789553433,a=-1e-06; sigsq=1672.69; z0=168.948,"
Parameter estimates appear at bounds:
	a",NA,111003.13512859587,5182.012766938467
mean_temperature_coldest_quarter,lambda,primary,ok,-55498.56631650756,111003.13263301512,111003.13512859587,lambda=0.930474; sigsq=353.489; z0=168.018,none,NA,111003.13512859587,0
mean_temperature_coldest_quarter,delta,primary,ok,-1e200,2e200,2e200,delta=9.65188e-116; sigsq=3.07398e-160,none,NA,111003.13512859587,2e200
