species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Geospiza acutirostris,geospiza acutirostris,geospiza_acutirostris,0.6127990645618296,0.526929493076349,-0.6127990645618296,1.3075797816949302,1.1578840968923583,0.526929493076349,-0.11027291612155807,-0.14286532759366924,-0.7158591217288839,-0.043349493381144195,0.22694664816563845,-0.006833124459167194,0.002735622783498633,-6.314318205669424e-17
Geospiza fortis,geospiza fortis,geospiza_fortis,-0.20115316846376038,-0.17115779940884,0.20115316846376038,1.4411989936046545,1.6316976506521297,-0.17115779940884,0.08688504716218598,-0.17739700598617142,-0.6476019926419139,-0.010106891470446267,0.10632559435641228,-0.0032584647654095764,9.110267027387321e-5,-1.3343444764665764e-17
Geospiza propinqua,geospiza propinqua,geospiza_propinqua,0.6127990645618296,0.526929493076349,-0.6127990645618296,1.3075797816949302,1.1578840968923583,0.526929493076349,-0.11027291612155807,-0.14286532759366924,-0.7158591217288839,-0.043349493381144195,0.22694664816563845,-0.006833124459167194,0.002735622783498633,-6.314318205669424e-17
Geospiza scandens,geospiza scandens,geospiza_scandens,-0.18736755474155273,-0.17443713514079037,0.18736755474155273,1.4540414131749508,1.6210767925631775,-0.17443713514079037,0.08763983786537535,-0.17606564046950185,-0.6480590844979972,-0.009777932803129854,0.10780453387248862,-0.003279461698411733,6.104774227779629e-5,-3.84424055751097e-17
Geospiza conirostris,geospiza conirostris,geospiza_conirostris,0.02779549216428849,-0.3421235188608626,-0.02779549216428849,1.655582224260062,1.4222405183624334,-0.3421235188608626,0.14217884548590215,0.015131200787679277,-0.6379071072157833,0.02135457088190312,0.06377951232551049,-0.003632236718566241,-3.2977859207790024e-4,4.386564039503513e-17
Geospiza magnirostris,geospiza magnirostris,geospiza_magnirostris,-0.21577849347123265,-0.15149695614640732,0.21577849347123265,1.4611291702418132,1.6350003316603698,-0.15149695614640732,0.08495298271124872,-0.20049403769771837,-0.650436582218321,-0.013718909188082419,0.10825043890017441,-0.002786625042551494,6.489759714845507e-5,-5.1402543509624146e-17
Geospiza difficilis,geospiza difficilis,geospiza_difficilis,-0.1366816090785812,-0.05868218999158952,0.1366816090785812,1.4497183135273979,1.593382480991156,-0.05868218999158952,0.06415307442674571,-0.1917424194244966,-0.6581258918737584,-0.018891687701749375,0.12235601933598347,-0.002838150216327975,3.966076067138217e-4,-1.4643627341828778e-17
Geospiza fuliginosa,geospiza fuliginosa,geospiza_fuliginosa,-0.21637214803419466,-0.1578185751585591,0.21637214803419466,1.3984433405992724,1.6507259777338092,-0.1578185751585591,0.08043146373590424,-0.17373783917024144,-0.6472183683226246,-0.01045723925130528,0.10737707896261371,-0.003542151915391946,6.473810515849486e-5,-3.108578668590499e-17
Platyspiza crassirostris,platyspiza crassirostris,platyspiza_crassirostris,-0.13717457268592492,-0.13686736047569809,0.13717457268592492,1.3398588850714723,1.5840502503862577,-0.13686736047569809,0.08407023391660172,-0.18615714132847658,-0.6414194709604089,-0.01362233950951538,0.12314159543146685,-0.0034751386763068595,6.95755835214677e-5,-3.204343661989434e-17
Certhidea olivacea,certhidea olivacea,certhidea_olivacea,-0.2376902831114246,-0.1731366158861922,0.2376902831114246,1.4679513066681087,1.6473635624241187,-0.1731366158861922,0.09110608694123784,-0.20235885267734166,-0.6484168848018128,-0.012676579011179367,0.10433707841450035,-0.0026865152760215502,6.986120061787068e-5,-3.743388772341941e-17
