species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,mahalanobis_d2,inside_50_core,inside_80_core,inside_95_core,closest_core_level
Tangara cyanocephala,tangara cyanocephala,tangara_cyanocephala,-0.36961604270285403,-0.23389591341958677,6.726228909391606e-5,TRUE,TRUE,TRUE,50%
Heliangelus clarisse,heliangelus clarisse,heliangelus_clarisse,-0.33084586775748354,-0.23734299044401225,2.4666571371334935e-4,TRUE,TRUE,TRUE,50%
Gyps africanus,gyps africanus,gyps_africanus,-0.3868137373896599,-0.22797913564423095,2.5652563305287126e-4,TRUE,TRUE,TRUE,50%
Glaucidium perlatum,glaucidium perlatum,glaucidium_perlatum,-0.33781783345749045,-0.28120594466108395,2.9953383143091527e-4,TRUE,TRUE,TRUE,50%
Pardirallus maculatus,pardirallus maculatus,pardirallus_maculatus,-0.3544055507069234,-0.20958505661506044,3.286929629899829e-4,TRUE,TRUE,TRUE,50%
Saltator cinctus,saltator cinctus,saltator_cinctus,-0.34152025662653446,-0.28677265233905574,3.4046171717508507e-4,TRUE,TRUE,TRUE,50%
Serinus nigriceps,serinus nigriceps,serinus_nigriceps,-0.3200369435902396,-0.23095618168886212,4.8253959818734106e-4,TRUE,TRUE,TRUE,50%
Zosterops poliogastrus,zosterops poliogastrus,zosterops_poliogastrus,-0.31586559719125507,-0.27115426675775695,5.423949648414015e-4,TRUE,TRUE,TRUE,50%
Dicrurus adsimilis,dicrurus adsimilis,dicrurus_adsimilis,-0.31365850118733035,-0.2681925262886219,5.706228733490232e-4,TRUE,TRUE,TRUE,50%
Laterallus flaviventer,laterallus flaviventer,laterallus_flaviventer,-0.36316734529331846,-0.19563089134857792,5.724087335764747e-4,TRUE,TRUE,TRUE,50%
Trigonoceps occipitalis,trigonoceps occipitalis,trigonoceps_occipitalis,-0.38523763843169884,-0.1981513056829352,6.436013956745983e-4,TRUE,TRUE,TRUE,50%
Caprimulgus tristigma,caprimulgus tristigma,caprimulgus_tristigma,-0.40179154790643146,-0.21263600800821392,6.621221907649192e-4,TRUE,TRUE,TRUE,50%
Scytalopus gonzagai,scytalopus gonzagai,scytalopus_gonzagai,-0.41263400454597926,-0.25354695092542695,7.136733316446744e-4,TRUE,TRUE,TRUE,50%
Ardea melanocephala,ardea melanocephala,ardea_melanocephala,-0.31032884483153933,-0.2851638921453858,0.00080612627170103895,TRUE,TRUE,TRUE,50%
Ortyxelos meiffrenii,ortyxelos meiffrenii,ortyxelos_meiffrenii,-0.4200835046709601,-0.23790927033281303,9.1703895653754e-4,TRUE,TRUE,TRUE,50%
Zapornia flavirostra,zapornia flavirostra,zapornia_flavirostra,-0.4207182067440848,-0.24767653659431862,9.304338793911501e-4,TRUE,TRUE,TRUE,50%
Pseudonigrita cabanisi,pseudonigrita cabanisi,pseudonigrita_cabanisi,-0.4123565056077648,-0.2801428482880847,9.393773377963865e-4,TRUE,TRUE,TRUE,50%
Columba albitorques,columba albitorques,columba_albitorques,-0.32858237135293367,-0.1912832779933911,9.72650964015994e-4,TRUE,TRUE,TRUE,50%
Leptoptilos crumenifer,leptoptilos crumenifer,leptoptilos_crumenifer,-0.41381111234301804,-0.2098418676768539,9.746058286236365e-4,TRUE,TRUE,TRUE,50%
Euplectes axillaris,euplectes axillaris,euplectes_axillaris,-0.40298349752001367,-0.19178192414663053,0.0010488841761177937,TRUE,TRUE,TRUE,50%
Coracias naevius,coracias naevius,coracias_naevius,-0.30269585088245626,-0.296580218263536,0.0011681129505678191,TRUE,TRUE,TRUE,50%
Apus affinis,apus affinis,apus_affinis,-0.2954167949129666,-0.2827859405360592,0.0011834443574718025,TRUE,TRUE,TRUE,50%
Rhinoptilus bitorquatus,rhinoptilus bitorquatus,rhinoptilus_bitorquatus,-0.2911831052328751,-0.243252944312174,0.0011911980880563251,TRUE,TRUE,TRUE,50%
Eremopterix leucopareia,eremopterix leucopareia,eremopterix_leucopareia,-0.3198079765613704,-0.188147675523858,0.0012235938388190219,TRUE,TRUE,TRUE,50%
Actophilornis africanus,actophilornis africanus,actophilornis_africanus,-0.428593496784103,-0.2585560361300913,0.0012274960381192929,TRUE,TRUE,TRUE,50%
Machetornis rixosa,machetornis rixosa,machetornis_rixosa,-0.3046833501910519,-0.20130988404255584,0.0013012037395610293,TRUE,TRUE,TRUE,50%
Eupodotis senegalensis,eupodotis senegalensis,eupodotis_senegalensis,-0.34787158347482255,-0.17055986048825336,0.001304080607538226,TRUE,TRUE,TRUE,50%
Elanus leucurus,elanus leucurus,elanus_leucurus,-0.43609246379836547,-0.26253793017710153,0.0015303906617921655,TRUE,TRUE,TRUE,50%
Caprimulgus fraenatus,caprimulgus fraenatus,caprimulgus_fraenatus,-0.28692364961180966,-0.2884905750934735,0.0015338658579097857,TRUE,TRUE,TRUE,50%
