x,y,level,level_probability
-1.1266705585464392,2.3043711659894766,50%,0.5
-1.173434362454628,2.289709744710258,50%,0.5
-1.2198388059655483,2.273927175998365,50%,0.5
-1.2658633981832839,2.257030428991842,50%,0.5
-1.3114878159435566,2.239026964818505,50%,0.5
-1.3566919127878632,2.2199247333013146,50%,0.5
-1.4014557278595845,2.199732169447959,50%,0.5
-1.4457594947181376,2.178458189726192,50%,0.5
-1.4895836500672799,2.156112188126573,50%,0.5
-1.5329088423937096,2.1327040320143404,50%,0.5
-1.575715940512149,2.1082440577722683,50%,0.5
-1.617986042013138,2.0827430662364055,50%,0.5
-1.6597004816098062,2.056212317926732,50%,0.5
-1.7008408393799366,2.0286635280748304,50%,0.5
-1.741388948899686,2.000108861450768,50%,0.5
-1.781326905265367,1.9705609269914812,50%,0.5
-1.8206370729997479,1.9400327722330175,50%,0.5
-1.859302093839383,1.9085378775491169,50%,0.5
-1.8973048943995348,1.876090150198653,50%,0.5
-1.9346286937132982,1.8427039181845841,50%,0.5
-1.9712570106416036,1.808393923927106,50%,0.5
-2.007173671150826,1.7731753177538172,50%,0.5
-2.042362815454778,1.73706365120976,50%,0.5
-2.076808905017952,1.7000748701902948,50%,0.5
-2.1104967294168917,1.6622253078998432,50%,0.5
-2.143411413056695,1.6235316776396045,50%,0.5
-2.1755384217396516,1.584011065427431,50%,0.5
-2.206863569083141,1.543680922453125,50%,0.5
-2.237373022783933,1.5025590573724843,50%,0.5
-2.2670533107261512,1.4606636284435004,50%,0.5
-2.2958913269301737,1.4180131355081844,50%,0.5
-2.323874337339869,1.3746264118235558,50%,0.5
-2.350989985445592,1.3305226157454078,50%,0.5
-2.377226297740478,1.285721222268516,50%,0.5
-2.4025716890076003,1.2402420144270283,50%,0.5
-2.4270149674356745,1.1941050745588366,50%,0.5
-2.4505453395610557,1.1473307754377784,50%,0.5
-2.4731524150338196,1.0999397712775951,50%,0.5
-2.4948262112058517,1.051952988611613,50%,0.5
-2.5155571575389057,1.0033916170521742,50%,0.5
-2.5353360998306806,0.9542770999339008,50%,0.5
-2.55415430425706,0.9046311248449221,50%,0.5
-2.572003461228724,0.8544756140502465,50%,0.5
-2.588875689060427,0.8038327148115052,50%,0.5
-2.6047635374513325,0.7527247896073468,50%,0.5
-2.619659990774852,0.7011744062587941,50%,0.5
-2.633558471176549,0.6492043279639317,50%,0.5
-2.6464528414787374,0.5968375032463169,50%,0.5
-2.6583374078904827,0.5440970558215588,50%,0.5
-2.6692069225218216,0.4910062743865357,50%,0.5
-2.6790565857010815,0.4375886023357634,50%,0.5
-2.687882048094284,0.38386762740945085,50%,0.5
-2.6956794126256813,0.3298670712778173,50%,0.5
-2.702445236198602,0.27561077906627324,50%,0.5
-2.7081765312158206,0.2211227088260826,50%,0.5
-2.712870766898802,0.1664269209551617,50%,0.5
-2.7165258704052153,0.11154756757368478,50%,0.5
-2.719140227744248,0.056508881859188065,50%,0.5
-2.720712684489296,0.0013351673458809055,50%,0.5
-2.721242546287727,-0.053949212807110014,50%,0.5
-2.7207295791674886,-0.10931984657382951,50%,0.5
-2.719174009640419,-0.1647522838411524,50%,0.5
-2.71657652460223,-0.2202220472052685,50%,0.5
-2.7129382710291923,-0.27570464278021284,50%,0.5
-2.7082608554716643,-0.3311755710136799,50%,0.5
-2.7025463433446806,-0.38661033750533125,50%,0.5
-2.6957972580159266,-0.441984463822836,50%,0.5
-2.688016579691488,-0.497273498310859,50%,0.5
-2.6792077440998785,-0.5524530268882194,50%,0.5
-2.669374640974917,-0.6074986838284647,50%,0.5
-2.65852161233813,-0.6623861625190879,50%,0.5
-2.6466534505814376,-0.717091226194646,50%,0.5
-2.6337753963509707,-0.7715897186390297,50%,0.5
-2.6198931362329434,-0.8258575748521708,50%,0.5
-2.6050128002426245,-0.8798708316764672,50%,0.5
-2.589140959117487,-0.9336056383782421,50%,0.5
-2.572284621415762,-0.9870382671795519,50%,0.5
-2.5544512304216527,-1.0401451237357076,50%,0.5
-2.535648660858593,-1.0929027575538726,50%,0.5
-2.515885215411986,-1.1452878723481421,50%,0.5
-2.4951696210629786,-1.1972773363265234,50%,0.5
-2.4735110252348687,-1.248848192405286,50%,0.5
-2.4509189917538565,-1.299977668346166,50%,0.5
-2.4274034966259377,-1.3506431868119404,50%,0.5
-2.4029749236317723,-1.4008223753359474,50%,0.5
-2.3776440597415016,-1.4504930762011363,50%,0.5
-2.351422090351527,-1.4996333562242932,50%,0.5
-2.3243205943453527,-1.5482215164411146,50%,0.5
-2.2963515389806757,-1.5962361016878612,50%,0.5
-2.267527274604986,-1.6436559100753538,50%,0.5
