variable,best_model_5models_no_OU,reconstruction_model_used,winning_model_used_for_reconstruction,reconstruction_fallback_reason,root_estimate,CI_low,CI_high,extant_mean,extant_sd,extant_min,extant_max,root_position_relative_to_extant_distribution,caution_flag
annual_mean_temperature,lambda,lambda,TRUE,none,NA,NA,NA,197.96310286011715,69.8488557933061,-140.6891976,295.3633273,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
annual_precipitation,lambda,lambda,TRUE,none,NA,NA,NA,1677.4524657519073,949.469274758837,12.03688288,5880.875859,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
maximum_temperature_warmest_month,lambda,lambda,TRUE,none,NA,NA,NA,273.2172583301351,48.76730837968729,55.30423449,457.4079083,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
mean_temperature_coldest_quarter,lambda,lambda,TRUE,none,NA,NA,NA,159.17154379417326,105.80217996198637,-360.7345677,272.7194592,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
mean_temperature_driest_quarter,lambda,lambda,TRUE,none,NA,NA,NA,180.02672249982922,93.46946208284812,-314.1595244,375.0176658,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
minimum_temperature_coldest_month,lambda,lambda,TRUE,none,NA,NA,NA,119.96553611002606,112.9094804359591,-391.8223747,264.9073254,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
precipitation_in_coldest_quarter,lambda,lambda,TRUE,none,NA,NA,NA,340.72654437054445,306.32857428427513,0,2831.48007,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
precipitation_of_coldest_quarter,lambda,lambda,TRUE,none,NA,NA,NA,340.72654437054445,306.32857428427513,0,2831.48007,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
precipitation_of_wettest_quarter,lambda,lambda,TRUE,none,NA,NA,NA,745.4035714030557,360.89616992956206,14.18072096,3580.17919,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
precipitation_wettest_month,lambda,lambda,TRUE,none,NA,NA,NA,261.08491835201124,125.95641373937205,6.456250276,1339.929541,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
temperature_annual_range,lambda,lambda,TRUE,none,NA,NA,NA,153.25087023957383,101.96411250014008,21.00012675,577.8424866,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
temperature_seasonality,lambda,lambda,TRUE,none,NA,NA,NA,2661.3992119302493,3087.3559445402284,73.00492603,18168.75236,unknown_no_root_estimate,primary_reconstruction_uncertain; root_outside_extant_range
