variable,best_model_5models_no_OU,reconstruction_model_used,winning_model_used_for_reconstruction,reconstruction_fallback_reason,root_estimate,CI_low,CI_high,extant_mean,extant_sd,extant_min,extant_max,root_position_relative_to_extant_distribution,caution_flag
annual_mean_temperature,lambda,lambda_fastAnc,TRUE,none,207.15525215085657,92.32917980332108,321.98132449839204,197.96310286011715,69.8488557933061,-140.6891976,295.3633273,central_within_extant_distribution,none
annual_precipitation,lambda,lambda_fastAnc,TRUE,none,1340.1461700804864,-186.23732001302574,2866.5296601739983,1677.4524657519073,949.469274758837,12.03688288,5880.875859,central_within_extant_distribution,none
maximum_temperature_warmest_month,lambda,lambda_fastAnc,TRUE,none,287.22017398411737,204.5273782224288,369.9129697458059,273.2172583301351,48.76730837968729,55.30423449,457.4079083,central_within_extant_distribution,none
mean_temperature_coldest_quarter,lambda,lambda_fastAnc,TRUE,none,168.01755071998247,-3.316487476997736,339.35158891696267,159.17154379417326,105.80217996198637,-360.7345677,272.7194592,central_within_extant_distribution,none
mean_temperature_driest_quarter,lambda,lambda_fastAnc,TRUE,none,190.6853815314538,42.118550944210256,339.25221211869734,180.02672249982922,93.46946208284812,-314.1595244,375.0176658,central_within_extant_distribution,none
minimum_temperature_coldest_month,lambda,lambda_fastAnc,TRUE,none,124.44243737467625,-57.209926238986725,306.0948009883392,119.96553611002606,112.9094804359591,-391.8223747,264.9073254,central_within_extant_distribution,none
precipitation_in_coldest_quarter,lambda,lambda_fastAnc,TRUE,none,282.3133519182683,-103.77390598381186,668.4006098203486,340.72654437054445,306.32857428427513,0,2831.48007,central_within_extant_distribution,none
precipitation_of_coldest_quarter,lambda,lambda_fastAnc,TRUE,none,282.31324228254647,-103.77570864130587,668.4021932063988,340.72654437054445,306.32857428427513,0,2831.48007,central_within_extant_distribution,none
precipitation_of_wettest_quarter,lambda,lambda_fastAnc,TRUE,none,590.853594000077,35.954160212698184,1145.7530277874557,745.4035714030557,360.89616992956206,14.18072096,3580.17919,central_within_extant_distribution,none
precipitation_wettest_month,lambda,lambda_fastAnc,TRUE,none,207.7287862831359,15.48063556009211,399.9769370061797,261.08491835201124,125.95641373937205,6.456250276,1339.929541,central_within_extant_distribution,none
temperature_annual_range,lambda,lambda_fastAnc,TRUE,none,162.85489214182869,1.9888920052551384,323.72089227840223,153.25087023957383,101.96411250014008,21.00012675,577.8424866,central_within_extant_distribution,none
temperature_seasonality,lambda,lambda_fastAnc,TRUE,none,2649.4327186786786,-2303.7253478785533,7602.5907852359105,2661.3992119302493,3087.3559445402284,73.00492603,18168.75236,central_within_extant_distribution,none
