species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Zosterops poliogastrus,zosterops poliogastrus,zosterops_poliogastrus,-0.31586559719125507,-0.27115426675775695,3.0289524422905193e-4,TRUE,TRUE,TRUE,50%
Dicrurus adsimilis,dicrurus adsimilis,dicrurus_adsimilis,-0.31365850118733035,-0.2681925262886219,3.3235230666371727e-4,TRUE,TRUE,TRUE,50%
Glaucidium perlatum,glaucidium perlatum,glaucidium_perlatum,-0.33781783345749045,-0.28120594466108395,6.176670896167672e-4,TRUE,TRUE,TRUE,50%
Saltator cinctus,saltator cinctus,saltator_cinctus,-0.34152025662653446,-0.28677265233905574,0.001129156263496398,TRUE,TRUE,TRUE,50%
Ardea melanocephala,ardea melanocephala,ardea_melanocephala,-0.31032884483153933,-0.2851638921453858,0.0013594000719774062,TRUE,TRUE,TRUE,50%
Heliangelus clarisse,heliangelus clarisse,heliangelus_clarisse,-0.33084586775748354,-0.23734299044401225,0.0016058450275158774,TRUE,TRUE,TRUE,50%
Serinus nigriceps,serinus nigriceps,serinus_nigriceps,-0.3200369435902396,-0.23095618168886212,0.0023473110932236948,TRUE,TRUE,TRUE,50%
Apus affinis,apus affinis,apus_affinis,-0.2954167949129666,-0.2827859405360592,0.0024312983562497915,TRUE,TRUE,TRUE,50%
Rhinoptilus bitorquatus,rhinoptilus bitorquatus,rhinoptilus_bitorquatus,-0.2911831052328751,-0.243252944312174,0.0028066823102323372,TRUE,TRUE,TRUE,50%
Coracias naevius,coracias naevius,coracias_naevius,-0.30269585088245626,-0.296580218263536,0.0031712756963545746,TRUE,TRUE,TRUE,50%
Caprimulgus fraenatus,caprimulgus fraenatus,caprimulgus_fraenatus,-0.28692364961180966,-0.2884905750934735,0.004004618152997635,TRUE,TRUE,TRUE,50%
Myiothlypis luteoviridis,myiothlypis luteoviridis,myiothlypis_luteoviridis,-0.2785458961204752,-0.2861348397325444,0.005027113157659759,TRUE,TRUE,TRUE,50%
Nilaus afer,nilaus afer,nilaus_afer,-0.282420480590852,-0.23020822973181898,0.005168686687995472,TRUE,TRUE,TRUE,50%
Tangara cyanocephala,tangara cyanocephala,tangara_cyanocephala,-0.36961604270285403,-0.23389591341958677,0.005264036343960419,TRUE,TRUE,TRUE,50%
Melierax metabates,melierax metabates,melierax_metabates,-0.2741276916362581,-0.23537965434527094,0.0058038725335683335,TRUE,TRUE,TRUE,50%
Uraeginthus cyanocephalus,uraeginthus cyanocephalus,uraeginthus_cyanocephalus,-0.28445475008947246,-0.3076285890971481,0.007110763527691338,TRUE,TRUE,TRUE,50%
Atlapetes latinuchus,atlapetes latinuchus,atlapetes_latinuchus,-0.2856142605212435,-0.21475785274726772,0.007171798405214521,TRUE,TRUE,TRUE,50%
Pardirallus maculatus,pardirallus maculatus,pardirallus_maculatus,-0.3544055507069234,-0.20958505661506044,0.00783678661637652,TRUE,TRUE,TRUE,50%
Anhinga novaehollandiae,anhinga novaehollandiae,anhinga_novaehollandiae,-0.2572439399826237,-0.26350027452601943,0.00786482242562642,TRUE,TRUE,TRUE,50%
Vanellus tectus,vanellus tectus,vanellus_tectus,-0.25708008930216497,-0.2665716232781271,0.00796991791685523,TRUE,TRUE,TRUE,50%
Polioptila lactea,polioptila lactea,polioptila_lactea,-0.3163480281354321,-0.32795087128232847,0.008197040493152797,TRUE,TRUE,TRUE,50%
Mirafra pulpa,mirafra pulpa,mirafra_pulpa,-0.25825231398822635,-0.23866506109446872,0.008471806260972827,TRUE,TRUE,TRUE,50%
Machetornis rixosa,machetornis rixosa,machetornis_rixosa,-0.3046833501910519,-0.20130988404255584,0.00847301651775512,TRUE,TRUE,TRUE,50%
Gyps africanus,gyps africanus,gyps_africanus,-0.3868137373896599,-0.22797913564423095,0.009174244464886296,TRUE,TRUE,TRUE,50%
Crithagra reichenowi,crithagra reichenowi,crithagra_reichenowi,-0.25039312117416146,-0.25927384529281433,0.00943681262732726,TRUE,TRUE,TRUE,50%
Vidua macroura,vidua macroura,vidua_macroura,-0.2502117254650197,-0.24702449064780962,0.009758423039713006,TRUE,TRUE,TRUE,50%
Rhinoptilus chalcopterus,rhinoptilus chalcopterus,rhinoptilus_chalcopterus,-0.2647747334817302,-0.21720466965173954,0.009885306131303333,TRUE,TRUE,TRUE,50%
Acropternis orthonyx,acropternis orthonyx,acropternis_orthonyx,-0.29123884628936747,-0.19778574076586766,0.010333599448749795,TRUE,TRUE,TRUE,50%
Columba albitorques,columba albitorques,columba_albitorques,-0.32858237135293367,-0.1912832779933911,0.010906099524307959,TRUE,TRUE,TRUE,50%
Agapornis taranta,agapornis taranta,agapornis_taranta,-0.2432840041349356,-0.24982626589213114,0.01140053719920777,TRUE,TRUE,TRUE,50%
Pseudonigrita cabanisi,pseudonigrita cabanisi,pseudonigrita_cabanisi,-0.4123565056077648,-0.2801428482880847,0.011599575294770147,TRUE,TRUE,TRUE,50%
Eremopterix leucopareia,eremopterix leucopareia,eremopterix_leucopareia,-0.3198079765613704,-0.188147675523858,0.011712100340475406,TRUE,TRUE,TRUE,50%
Scytalopus gonzagai,scytalopus gonzagai,scytalopus_gonzagai,-0.41263400454597926,-0.25354695092542695,0.012271951330820123,TRUE,TRUE,TRUE,50%
Laterallus flaviventer,laterallus flaviventer,laterallus_flaviventer,-0.36316734529331846,-0.19563089134857792,0.012520138527375789,TRUE,TRUE,TRUE,50%
Streptopelia decipiens,streptopelia decipiens,streptopelia_decipiens,-0.271492253713545,-0.19685888648396474,0.013039910990495254,TRUE,TRUE,TRUE,50%
Zapornia flavirostra,zapornia flavirostra,zapornia_flavirostra,-0.4207182067440848,-0.24767653659431862,0.015146345900373497,TRUE,TRUE,TRUE,50%
Scytalopus griseicollis,scytalopus griseicollis,scytalopus_griseicollis,-0.38914688484392396,-0.3384691849308517,0.01521407323944956,TRUE,TRUE,TRUE,50%
Trigonoceps occipitalis,trigonoceps occipitalis,trigonoceps_occipitalis,-0.38523763843169884,-0.1981513056829352,0.01561645540731645,TRUE,TRUE,TRUE,50%
Caprimulgus tristigma,caprimulgus tristigma,caprimulgus_tristigma,-0.40179154790643146,-0.21263600800821392,0.015698310317592848,TRUE,TRUE,TRUE,50%
Ortyxelos meiffrenii,ortyxelos meiffrenii,ortyxelos_meiffrenii,-0.4200835046709601,-0.23790927033281303,0.01612843588748642,TRUE,TRUE,TRUE,50%
Actophilornis africanus,actophilornis africanus,actophilornis_africanus,-0.428593496784103,-0.2585560361300913,0.016756840025467762,TRUE,TRUE,TRUE,50%
Pternistis castaneicollis,pternistis castaneicollis,pternistis_castaneicollis,-0.24033944835306348,-0.3122254436197989,0.017885445239064546,TRUE,TRUE,TRUE,50%
Myiothlypis nigrocristata,myiothlypis nigrocristata,myiothlypis_nigrocristata,-0.24113993075859122,-0.20224567981595432,0.018023256903524694,TRUE,TRUE,TRUE,50%
Elanus leucurus,elanus leucurus,elanus_leucurus,-0.43609246379836547,-0.26253793017710153,0.019080088160940947,TRUE,TRUE,TRUE,50%
Cinnyris tsavoensis,cinnyris tsavoensis,cinnyris_tsavoensis,-0.3113390344350775,-0.1669481028043851,0.019082168329073567,TRUE,TRUE,TRUE,50%
Eupodotis senegalensis,eupodotis senegalensis,eupodotis_senegalensis,-0.34787158347482255,-0.17055986048825336,0.01913132537481206,TRUE,TRUE,TRUE,50%
Myiarchus magnirostris,myiarchus magnirostris,myiarchus_magnirostris,-0.2563715390873303,-0.1841068074288223,0.01925884223229199,TRUE,TRUE,TRUE,50%
Herpsilochmus parkeri,herpsilochmus parkeri,herpsilochmus_parkeri,-0.2211604822602146,-0.22921090084532475,0.019426997291567622,TRUE,TRUE,TRUE,50%
Leptoptilos crumenifer,leptoptilos crumenifer,leptoptilos_crumenifer,-0.41381111234301804,-0.2098418676768539,0.01969190563761803,TRUE,TRUE,TRUE,50%
Cinnyris mediocris,cinnyris mediocris,cinnyris_mediocris,-0.26042251526245885,-0.17947939536908059,0.019900807186049523,TRUE,TRUE,TRUE,50%
Aramides ypecaha,aramides ypecaha,aramides_ypecaha,-0.2666930878948631,-0.17598553818940085,0.019938098691944798,TRUE,TRUE,TRUE,50%
Melaniparus thruppi,melaniparus thruppi,melaniparus_thruppi,-0.31843831948068974,-0.3682334969928111,0.021422881073918983,TRUE,TRUE,TRUE,50%
Euplectes axillaris,euplectes axillaris,euplectes_axillaris,-0.40298349752001367,-0.19178192414663053,0.021752458294250095,TRUE,TRUE,TRUE,50%
Zosterops flavilateralis,zosterops flavilateralis,zosterops_flavilateralis,-0.2319390287008809,-0.31789197520719337,0.021775357339358866,TRUE,TRUE,TRUE,50%
Buteo socotraensis,buteo socotraensis,buteo_socotraensis,-0.2612105950819917,-0.1727167849491615,0.021998715013644303,TRUE,TRUE,TRUE,50%
Zenaida galapagoensis,zenaida galapagoensis,zenaida_galapagoensis,-0.22075654513880685,-0.1990023491537865,0.0246231436937703,TRUE,TRUE,TRUE,50%
Aramides saracura,aramides saracura,aramides_saracura,-0.45093569333081135,-0.2909034939326143,0.024737630525873678,TRUE,TRUE,TRUE,50%
Pseudonigrita arnaudi,pseudonigrita arnaudi,pseudonigrita_arnaudi,-0.4562201861005159,-0.26903844724044174,0.02650460445976203,TRUE,TRUE,TRUE,50%
Sporopipes frontalis,sporopipes frontalis,sporopipes_frontalis,-0.20662797613405257,-0.21350670507010489,0.026654078827533956,TRUE,TRUE,TRUE,50%
Euphonia chalybea,euphonia chalybea,euphonia_chalybea,-0.43212761773077096,-0.3428231534927295,0.026798826248078292,TRUE,TRUE,TRUE,50%
Certhidea olivacea,certhidea olivacea,certhidea_olivacea,-0.2376902831114246,-0.1731366158861922,0.027017004997318617,TRUE,TRUE,TRUE,50%
Melaenornis fischeri,melaenornis fischeri,melaenornis_fischeri,-0.3896980832560611,-0.16293332579822362,0.029150178249921107,TRUE,TRUE,TRUE,50%
