PC,eigenvalue,variance_explained,cumulative_variance
PC1,7.74552578795556,0.6454604823296299,0.6454604823296299
PC2,2.501672902365122,0.20847274186376014,0.8539332241933901
PC3,0.8926986032504342,0.07439155027086951,0.92832477446425965
PC4,0.6987883456977166,0.058232362141476375,0.9865571366057361
PC5,0.08343993185431207,0.006953327654526005,0.9935104642602621
PC6,0.04364780833462596,0.0036373173612188297,0.997147781621481
PC7,0.02971248109293429,0.002476040091077857,0.9996238217125588
PC8,0.0032607239090620944,2.717269924218412e-4,0.9998955487049807
PC9,0.0010998073347336416,9.165061122780346e-5,0.9999871993162085
PC10,1.535778477168711e-4,1.2798153976405924e-5,0.9999999974701849
PC11,3.0357784871080157e-8,2.529815405923346e-9,1.0000000000000002
PC12,1.982062291063675e-31,1.6517185758863956e-32,1.0000000000000002
