variable,variable_type,model_set,OU_status,best_overall_model,biological_mode_interpretation,best_overall_AICc,second_best_model,second_best_AICc,delta_AICc_to_second_best,winner_support,primary_model,primary_AICc,primary_delta_from_best,best_model_parameter_summary,best_model_fit_warning,best_model_fit_error,caution_flag
annual_mean_temperature,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,103062.50982046373,BM,108062.44645503158,4999.936634567843,robust,lambda,103062.50982046373,0,lambda=0.933278; sigsq=158.34; z0=207.155,none,NA,none
annual_precipitation,precipitation,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,154604.51549351556,BM,159345.54981515586,4741.034321640298,robust,lambda,154604.51549351556,0,lambda=0.911117; sigsq=28593.2; z0=1340.15,none,NA,none
maximum_temperature_warmest_month,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,97873.73466549734,BM,102605.56367029644,4731.829004799103,robust,lambda,97873.73466549734,0,lambda=0.919498; sigsq=83.2299; z0=287.22,none,NA,none
mean_temperature_coldest_quarter,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,111003.13512859587,BM,116183.12173049593,5179.986601900062,robust,lambda,111003.13512859587,0,lambda=0.930474; sigsq=353.489; z0=168.018,none,NA,none
mean_temperature_driest_quarter,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,109498.0116501161,BM,115197.70448051374,5699.692830397646,robust,lambda,109498.0116501161,0,lambda=0.914901; sigsq=269.866; z0=190.685,none,NA,none
minimum_temperature_coldest_month,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,112260.89457268709,BM,117428.80552588358,5167.910953196493,robust,lambda,112260.89457268709,0,lambda=0.928897; sigsq=397.965; z0=124.442,none,NA,none
precipitation_in_coldest_quarter,precipitation,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,135516.69840053283,BM,141340.81779839017,5824.119397857343,robust,lambda,135516.69840053283,0,lambda=0.77366; sigsq=2120.61; z0=282.313,none,NA,none
precipitation_of_coldest_quarter,precipitation,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,135516.69840046566,BM,141340.81779839017,5824.1193979245145,robust,lambda,135516.69840046566,0,lambda=0.773662; sigsq=2120.62; z0=282.313,none,NA,none
precipitation_of_wettest_quarter,precipitation,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,136705.53718158937,BM,142058.9504866602,5353.413305070833,robust,lambda,136705.53718158937,0,lambda=0.887992; sigsq=3867.47; z0=590.854,none,NA,none
precipitation_wettest_month,precipitation,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,116564.56155126123,BM,121994.55562220459,5429.994070943358,robust,lambda,116564.56155126123,0,lambda=0.883922; sigsq=466.155; z0=207.729,none,NA,none
temperature_annual_range,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,110942.81219048033,BM,116162.88794440351,5220.075753923185,robust,lambda,110942.81219048033,0,lambda=0.916039; sigsq=316.046; z0=162.855,none,NA,none
temperature_seasonality,thermal,5models_no_OU,excluded_deferred,lambda,strong phylogenetic structure / signal,176483.70772186446,BM,181755.17385386274,5271.466131998284,robust,lambda,176483.70772186446,0,lambda=0.921302; sigsq=298067; z0=2649.43,none,NA,none
