variable,model,model_role,fit_status,logLik,AIC,AICc,parameter_summary,fit_warning,fit_error,best_AICc_for_variable,delta_AICc
annual_mean_temperature,BM,primary,ok,-54029.22260368547,108062.44520737094,108062.44645503158,sigsq=719.111; z0=207.957,none,NA,103062.50982046372,4999.936634567857
annual_mean_temperature,EB,sensitivity_only,ok,-54029.23489793876,108064.46979587752,108064.47229145828,a=-1e-06; sigsq=719.203; z0=207.957,none,NA,103062.50982046372,5001.962470994564
annual_mean_temperature,lambda,primary,ok,-51528.25366244149,103062.507324883,103062.50982046372,lambda=0.933278; sigsq=158.34; z0=207.155,none,NA,103062.50982046372,0
annual_mean_temperature,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=719.186,"
Parameter estimates appear at bounds:
	delta",NA,103062.50982046372,2e200
annual_mean_temperature,mean_trend,sensitivity_only,ok,-54029.22259033658,108064.44518067317,108064.44767625393,sigsq=719.111; drift=-99.9999; z0=11895.9,none,NA,103062.50982046372,5001.937855790209
annual_precipitation,BM,primary,ok,-79670.77428374761,159345.54856749522,159345.54981515586,sigsq=148501; z0=1312.01,none,NA,154604.51549351556,4741.034321640298
annual_precipitation,EB,sensitivity_only,ok,-79670.78652317573,159347.57304635146,159347.5755419322,a=-1e-06; sigsq=148518; z0=1312.01,"
Parameter estimates appear at bounds:
	a",NA,154604.51549351556,4743.060048416635
annual_precipitation,lambda,primary,ok,-77299.25649896741,154604.51299793483,154604.51549351556,lambda=0.911117; sigsq=28593.2; z0=1340.15,none,NA,154604.51549351556,0
annual_precipitation,delta,primary,ok,-1e200,2e200,2e200,delta=9.27212e-155; sigsq=6.6552e+17,none,NA,154604.51549351556,2e200
annual_precipitation,mean_trend,sensitivity_only,ok,-79670.77427687995,159347.5485537599,159347.55104934063,sigsq=148501; drift=99.9999; z0=-10376,none,NA,154604.51549351556,4743.035555825074
minimum_temperature_coldest_month,BM,primary,ok,-58712.40213911147,117428.80427822296,117428.80552588358,sigsq=1903.69; z0=125.126,none,NA,112260.89457268707,5167.910953196508
minimum_temperature_coldest_month,EB,sensitivity_only,ok,-58712.41463060965,117430.8292612193,117430.83175680003,a=-1.00001e-06; sigsq=1903.91; z0=125.126,none,NA,112260.89457268707,5169.937184112961
minimum_temperature_coldest_month,lambda,primary,ok,-56127.44603855317,112260.89207710634,112260.89457268707,lambda=0.928897; sigsq=397.965; z0=124.442,none,NA,112260.89457268707,0
minimum_temperature_coldest_month,delta,primary,ok,-1e200,2e200,2e200,delta=4.14075e-204; sigsq=5.70386e+12,none,NA,112260.89457268707,2e200
minimum_temperature_coldest_month,mean_trend,sensitivity_only,ok,-58712.402094266094,117430.8041885322,117430.80668411292,sigsq=1903.69; drift=-99.9999; z0=11813.1,none,NA,112260.89457268707,5169.912111425845
precipitation_of_coldest_quarter,BM,primary,ok,-70668.40827536477,141340.81655072953,141340.81779839017,sigsq=22855.5; z0=268.345,none,NA,135516.69840046566,5824.1193979245145
precipitation_of_coldest_quarter,EB,sensitivity_only,ok,-70668.42143575769,141342.84287151537,141342.8453670961,a=-1e-06; sigsq=22858.1; z0=268.345,"
Parameter estimates appear at bounds:
	a",NA,135516.69840046566,5826.146966630447
precipitation_of_coldest_quarter,lambda,primary,ok,-67755.34795244246,135516.69590488492,135516.69840046566,lambda=0.773662; sigsq=2120.62; z0=282.313,none,NA,135516.69840046566,0
precipitation_of_coldest_quarter,delta,primary,ok,-1e200,2e200,2e200,delta=7.12458e-218; sigsq=22857.9,"
Parameter estimates appear at bounds:
	delta",NA,135516.69840046566,2e200
precipitation_of_coldest_quarter,mean_trend,sensitivity_only,ok,-70668.40827040434,141342.81654080868,141342.8190363894,sigsq=22855.5; drift=-100; z0=11956.3,none,NA,135516.69840046566,5826.120635923755
precipitation_of_wettest_quarter,BM,primary,ok,-71027.47461949979,142058.94923899957,142058.9504866602,sigsq=24626.8; z0=581.199,none,NA,136705.53718158937,5353.413305070833
precipitation_of_wettest_quarter,EB,sensitivity_only,ok,-71027.48735915808,142060.97471831617,142060.9772138969,a=-1e-06; sigsq=24629.6; z0=581.198,"
Parameter estimates appear at bounds:
	a",NA,136705.53718158937,5355.440032307524
precipitation_of_wettest_quarter,lambda,primary,ok,-68349.76734300432,136705.53468600864,136705.53718158937,lambda=0.887992; sigsq=3867.47; z0=590.854,none,NA,136705.53718158937,0
precipitation_of_wettest_quarter,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=24629.3,"
Parameter estimates appear at bounds:
	delta",NA,136705.53718158937,2e200
precipitation_of_wettest_quarter,mean_trend,sensitivity_only,ok,-71027.47460402659,142060.94920805318,142060.9517036339,sigsq=24626.8; drift=100; z0=-11106.8,none,NA,136705.53718158937,5355.414522044535
temperature_seasonality,BM,primary,ok,-90875.58630310104,181755.1726062021,181755.1738538627,sigsq=1.52512e+06; z0=2638.88,none,NA,176483.70772186446,5271.466131998255
temperature_seasonality,EB,sensitivity_only,ok,-90875.59890766212,181757.19781532424,181757.20031090497,a=-1e-06; sigsq=1.5253e+06; z0=2638.88,"
Parameter estimates appear at bounds:
	a",NA,176483.70772186446,5273.492589040514
